restaurant name,restaurant type,rate (out of 5),Average Customer Per Week,avg cost (two people),online_order,table booking,cuisines type,local address,Average income per Week
Ambur Biriyani Classic,Casual Dining,3.3,136,700.0,True,False,"Biryani, South Indian, North Indian",Electronic City,95200.0
Ambur Biriyani Point,Quick Bites,3.6,26,150.0,False,False,Biryani,BTM,3900.0
Ambur Biriyani Zone,Quick Bites,3.2,4,200.0,False,False,"Biryani, Kebab",Kammanahalli,800.0
Ambur Biryani,Quick Bites,3.2,5,450.0,False,False,"South Indian, Fast Food",HSR,2250.0
Ambur Biryani Hotel,Quick Bites,3.2,13,200.0,False,False,Biryani,Koramangala 1st Block,2600.0
Ambur Biryani Mess,Mess,3.4,18,250.0,False,False,Biryani,Koramangala 6th Block,4500.0
Ambur Biryani Point,Quick Bites,3.3,8,150.0,False,False,Biryani,Sarjapur Road,1200.0
Ambur Chicken Biryani,Quick Bites,3.1,9,250.0,False,False,Biryani,HSR,2250.0
Ambur Darbar Biriyani Point,Quick Bites,3.2,24,200.0,True,False,Biryani,Yeshwantpur,4800.0
Ambur Dum Biriyani,Quick Bites,2.8,40,160.0,False,False,Biryani,Basavanagudi,6400.0
Ambur Dum Biryani,Quick Bites,2.8,40,300.0,False,False,"Biryani, Fast Food",Electronic City,12000.0
Ambur Hot Dum Biriyani,Quick Bites,3.1,6,200.0,False,False,Biryani,Jeevan Bhima Nagar,1200.0
Ambur Hot Dum Biryani,Quick Bites,3.0,9,200.0,False,False,Biryani,Thippasandra,1800.0
Ambur Star Biryani,Quick Bites,3.5,22,200.0,False,False,Biryani,Sarjapur Road,4400.0
Ambur Star Briyani,Casual Dining,3.6,17,500.0,True,False,"North Indian, Chinese, Biryani",Indiranagar,8500.0
Ambur Star Dum Biriyani,Quick Bites,3.2,4,200.0,False,False,Biryani,Wilson Garden,800.0
Ambur Star Dum Biryani,Quick Bites,2.8,40,250.0,False,False,Biryani,Sarjapur Road,10000.0
Ambur Tasty Biriyani,Quick Bites,3.2,4,200.0,False,False,Biryani,HSR,800.0
Amchoor,Quick Bites,3.8,38,250.0,True,False,"North Indian, Beverages",Marathahalli,9500.0
Amdo's Corner Tibetan Foods,Quick Bites,4.0,47,250.0,False,False,"Tibetan, Momos",Richmond Road,11750.0
American Bites,Quick Bites,2.4,48,450.0,True,False,"Fast Food, Burger, Pizza",Kalyan Nagar,21600.0
American Desserts,"Takeaway, Delivery",3.6,23,500.0,True,False,"Desserts, Bakery",Banaswadi,11500.0
Amexicano,Food Truck,3.8,31,400.0,False,False,"American, Mexican",East Bangalore,12400.0
Amigos Kitchen,Quick Bites,3.7,64,400.0,True,False,"Chinese, North Indian, Mexican, Fast Food",Banaswadi,25600.0
Amjad Bhai's Star Hotel - Home Food Only,Quick Bites,2.8,40,300.0,False,False,"North Indian, South Indian",BTM,12000.0
Ammachide Addukala,Quick Bites,3.5,6,300.0,False,False,Kerala,Bannerghatta Road,1800.0
Amma's Biryani & Rice,Quick Bites,2.8,40,300.0,True,False,"Biryani, Fast Food",Kammanahalli,12000.0
Amma's Cafe,Quick Bites,3.2,6,300.0,False,False,Fast Food,HSR,1800.0
Amma's Pastries,Bakery,3.9,130,400.0,False,False,Bakery,HBR Layout,52000.0
Amma's Special,Quick Bites,0.0,40,400.0,False,False,South Indian,Koramangala 1st Block,16000.0
Ammayi Thakkaram,Quick Bites,0.0,40,400.0,False,False,"Kerala, South Indian",BTM,16000.0
Ammi's Biryani,Casual Dining,2.7,171,500.0,True,False,"Biryani, North Indian",Kalyan Nagar,85500.0
Ammus Hot N Cool,Quick Bites,3.4,84,300.0,True,False,"North Indian, Chinese",BTM,25200.0
Amnesia - The Poolside Bar,"Casual Dining, Bar",3.7,15,2000.0,False,False,"North Indian, Chinese, Continental",Residency Road,30000.0
Amoeba Sports Bar,"Lounge, Bar",3.9,568,1000.0,True,True,"Continental, Chinese",Whitefield,568000.0
Amontron,Casual Dining,3.9,435,650.0,True,False,Bengali,BTM,282750.0
Amour Fine Patisserie,"Cafe, Dessert Parlor",4.0,82,500.0,True,True,"Cafe, Desserts, Continental",HSR,41000.0
Amravathi Restaurants & Caterers,Quick Bites,3.1,6,400.0,False,False,"North Indian, Chinese",BTM,2400.0
Amrit,Food Court,3.4,24,600.0,False,False,"North Indian, Seafood",JP Nagar,14400.0
Amrita Nadia Sweets,Sweet Shop,3.2,4,400.0,True,False,Mithai,Jalahalli,1600.0
Amrith Ice Cream,Dessert Parlor,4.1,81,100.0,False,False,Ice Cream,Malleshwaram,8100.0
Amritsari Kulcha Bite,Quick Bites,3.9,99,150.0,True,False,North Indian,Ulsoor,14850.0
Amritsari Kulcha Land,Quick Bites,4.0,260,300.0,True,False,North Indian,JP Nagar,78000.0
